Time,LL_Q,LL_T,LL_C,Regime
8805000,   5130471356,   5449629958,   9674356384,xx
8815000,   5130471356,   5449629958,   9674356384,xx
8825000,   5130471356,   5449629958,   9674356384,xx
8915000,   5167581300,   5507603948,   9750400348,xx
8925000,   5167581300,   5507603948,   9750400348,xx
8935000,   5167581300,   5507603948,   9750400348,xx
9025000,   5204457383,   5564682000,   9829989342,xx
9035000,   5204457383,   5564682000,   9829989342,xx
9045000,   5204457383,   5564682000,   9829989342,xx
9135000,   5270705508,   5627223745,   9900137812,xx
9145000,   5270705508,   5627223745,   9900137812,xx
9155000,   5270705508,   5627223745,   9900137812,xx
9245000,   5336584322,   5708105001,   9940311714,xx
9255000,   5336584322,   5708105001,   9940311714,xx
9265000,   5336584322,   5708105001,   9940311714,xx
9355000,   5378101535,   5792137117,   9998744220,xx
9365000,   5378101535,   5792137117,   9998744220,xx
9375000,   5378101535,   5792137117,   9998744220,xx
9465000,   5443216929,   5876187321,  10079341486,xx
9475000,   5443216929,   5876187321,  10079341486,xx
9485000,   5443216929,   5876187321,  10079341486,xx
9575000,   5507263509,   5941211209,  10084638315,xx
9585000,   5507263509,   5941211209,  10084638315,xx
9595000,   5507263509,   5941211209,  10084638315,xx
9685000,   5580322576,   6017677839,  10164931324,xx
9695000,   5580322576,   6017677839,  10164931324,xx
9705000,   5580322576,   6017677839,  10164931324,xx
9795000,   5652588401,   6089132206,  10226309374,xx
9805000,   5652588401,   6089132206,  10226309374,xx
9815000,   5652588401,   6089132206,  10226309374,xx
9905000,   5730313448,   6171874671,  10300570248,xx
9915000,   5730313448,   6171874671,  10300570248,xx
9925000,   5730313448,   6171874671,  10300570248,xx
10015000,   5752856424,   6223152038,  10373399923,xx
10025000,   5752856424,   6223152038,  10373399923,xx
10035000,   5752856424,   6223152038,  10373399923,xx
10125000,   5830027797,   6296488297,  10449977596,xx
10135000,   5830027797,   6296488297,  10449977596,xx
10145000,   5830027797,   6296488297,  10449977596,xx
10235000,   5891499562,   6379445352,  10528090507,xx
10245000,   5891499562,   6379445352,  10528090507,xx
10255000,   5891499562,   6379445352,  10528090507,xx
10345000,   5960329938,   6455505806,  10564556221,xx
10355000,   5960329938,   6455505806,  10564556221,xx
10365000,   5960329938,   6455505806,  10564556221,xx
10455000,   6027648466,   6536641395,  10645004997,xx
10465000,   6027648466,   6536641395,  10645004997,xx
10475000,   6027648466,   6536641395,  10645004997,xx
10565000,   6031059617,   6619321275,  10727521946,xx
10575000,   6031059617,   6619321275,  10727521946,xx
10585000,   6031059617,   6619321275,  10727521946,xx
10675000,   6096411944,   6698035457,  10809959558,xx
10685000,   6096411944,   6698035457,  10809959558,xx
10695000,   6096411944,   6698035457,  10809959558,xx
10785000,   6148742507,  10829715760,  10870528220,xx
10795000,   6148742507,  10829715760,  10870528220,xx
10805000,   6148742507,  10829715760,  10870528220,xx
10895000,   6210764192,  10899520553,  10944598239,xx
10905000,   6210764192,  10899520553,  10944598239,xx
10915000,   6210764192,  10899520553,  10944598239,xx
11005000,   6289770965,  10980281516,  11017084455,xx
11015000,   6289770965,  10980281516,  11017084455,xx
11025000,   6289770965,  10980281516,  11017084455,xx
11115000,   6355697635,  11053431985,  11097629812,xx
11125000,   6355697635,  11053431985,  11097629812,xx
11135000,   6355697635,  11053431985,  11097629812,xx
11225000,   6422102805,  11126788465,  11164136558,xx
11235000,   6422102805,  11126788465,  11164136558,xx
11245000,   6422102805,  11126788465,  11164136558,xx
11335000,   6481166594,  11203845426,  11217406032,xx
11345000,   6481166594,  11203845426,  11217406032,xx
11355000,   6481166594,  11203845426,  11217406032,xx
11445000,   6477363424,  11284940138,  11288349396,xx
11455000,   6477363424,  11284940138,  11288349396,xx
11465000,   6477363424,  11284940138,  11288349396,xx
11555000,   6532231683,  11361763127,  11362292260,xx
11565000,   6532231683,  11361763127,  11362292260,xx
11575000,   6532231683,  11361763127,  11362292260,xx
11665000,   6610701540,  11414860453,  11394003195,xx
11675000,   6610701540,  11414860453,  11394003195,xx
11685000,   6610701540,  11414860453,  11394003195,xx
11775000,   6665988014,  11489416864,  11468064989,xx
11785000,   6665988014,  11489416864,  11468064989,xx
11795000,   6665988014,  11489416864,  11468064989,xx
11885000,   6733251281,  11553502479,  11538523860,xx
11895000,   6733251281,  11553502479,  11538523860,xx
11905000,   6733251281,  11553502479,  11538523860,xx
11995000,   6809396828,  11619019460,  11595092655,xx
12005000,   6809396828,  11619019460,  11595092655,xx
12015000,   6809396828,  11619019460,  11595092655,xx
12105000,   6875699388,  11679505228,  11653953146,xx
12115000,   6875699388,  11679505228,  11653953146,xx
12125000,   6875699388,  11679505228,  11653953146,xx
12215000,   6907447342,  11722704142,  11660838678,xx
12225000,   6907447342,  11722704142,  11660838678,xx
12235000,   6907447342,  11722704142,  11660838678,xx
12325000,   6983466445,  11798266395,  11708429792,xx
12335000,   6983466445,  11798266395,  11708429792,xx
12345000,   6983466445,  11798266395,  11708429792,xx
12435000,   7031133305,  11868526313,  11781768465,xx
12445000,   7031133305,  11868526313,  11781768465,xx
12455000,   7031133305,  11868526313,  11781768465,xx
12545000,   7060604101,  11939550188,  11826598605,xx
12555000,   7060604101,  11939550188,  11826598605,xx
12565000,   7060604101,  11939550188,  11826598605,xx
12655000,   7054856743,  12017812859,  11899855201,xx
12665000,   7054856743,  12017812859,  11899855201,xx
12675000,   7054856743,  12017812859,  11899855201,xx
12765000,   7127572388,  12101004679,  11973584794,xx
12775000,   7127572388,  12101004679,  11973584794,xx
12785000,   7127572388,  12101004679,  11973584794,xx
12875000,   7199456644,  12176190943,  11997872765,xx
12885000,   7199456644,  12176190943,  11997872765,xx
12895000,   7199456644,  12176190943,  11997872765,xx
12985000,   7265843584,  12260103371,  12061147440,xx
12995000,   7265843584,  12260103371,  12061147440,xx
13005000,   7265843584,  12260103371,  12061147440,xx
13095000,   7332409909,  12301358712,  12127938060,xx
13105000,   7332409909,  12301358712,  12127938060,xx
13115000,   7332409909,  12301358712,  12127938060,xx
13205000,   7396251916,  12381797829,  12202211675,xx
13215000,   7396251916,  12381797829,  12202211675,xx
13225000,   7396251916,  12381797829,  12202211675,xx
13315000,   7470738630,  12453672971,  12275888552,xx
13325000,   7470738630,  12453672971,  12275888552,xx
13335000,   7470738630,  12453672971,  12275888552,xx
13425000,   7544020349,  12531552313,  12352138408,xx
13435000,   7544020349,  12531552313,  12352138408,xx
13445000,   7544020349,  12531552313,  12352138408,xx
13535000,   7587574531,  12614999726,  12392571963,xx
13545000,   7587574531,  12614999726,  12392571963,xx
13555000,   7587574531,  12614999726,  12392571963,xx
13645000,   7663265459,  12689782427,  12453552950,xx
13655000,   7663265459,  12689782427,  12453552950,xx
13665000,   7663265459,  12689782427,  12453552950,xx
13755000,   7739651938,  12752877364,  12512300301,xx
13765000,   7739651938,  12752877364,  12512300301,xx
